event_id,t_sec,loop,delta
EVT0070,1215,steam_pressure,0.02
EVT0070,360,stock_flow,-0.66
EVT0070,1245,filler_flow,0.26
EVT0071,945,machine_speed,-3.28
EVT0071,1005,machine_speed,-1.06
EVT0072,1305,steam_pressure,-2.44
EVT0073,1065,stock_flow,0.81
EVT0073,1230,filler_flow,0.83
EVT0073,300,machine_speed,0.0
EVT0074,1470,machine_speed,1.15
EVT0074,1185,filler_flow,0.99
EVT0074,1050,machine_speed,-0.27
EVT0075,1110,steam_pressure,1.71
EVT0075,645,steam_pressure,1.46
EVT0076,1455,machine_speed,-3.28
EVT0077,720,stock_flow,0.44
EVT0077,810,filler_flow,1.91
EVT0077,750,filler_flow,1.67
EVT0078,1110,machine_speed,-2.32
EVT0078,1335,filler_flow,0.15
EVT0079,1125,stock_flow,-3.09
EVT0079,315,filler_flow,-1.78
EVT0080,765,stock_flow,1.97
EVT0081,1410,steam_pressure,0.29
EVT0081,300,stock_flow,0.49
EVT0081,1275,stock_flow,-0.12
EVT0082,555,steam_pressure,-1.19
EVT0083,870,stock_flow,-1.5
EVT0083,1020,filler_flow,0.67
EVT0083,780,stock_flow,0.14
EVT0084,960,stock_flow,2.89
EVT0085,1050,stock_flow,-0.2
EVT0085,450,machine_speed,0.73
EVT0085,1200,machine_speed,0.71
EVT0086,1200,steam_pressure,-0.27
EVT0086,1485,filler_flow,2.5
EVT0086,885,filler_flow,-0.67
EVT0087,555,filler_flow,1.24
EVT0088,465,filler_flow,-2.29
EVT0089,1290,stock_flow,0.09
EVT0089,1305,machine_speed,1.28
EVT0089,1410,filler_flow,1.71
EVT0090,630,filler_flow,-0.43
EVT0090,1335,steam_pressure,-0.28
EVT0091,795,steam_pressure,2.31
EVT0091,1200,filler_flow,0.84
EVT0092,1095,steam_pressure,-0.34
EVT0092,570,stock_flow,-0.39
EVT0092,885,steam_pressure,0.69
EVT0093,555,machine_speed,1.54
EVT0094,1440,machine_speed,1.27
EVT0095,1470,steam_pressure,-0.98
EVT0096,345,stock_flow,-1.68
EVT0096,900,steam_pressure,2.81
EVT0097,870,steam_pressure,1.48
EVT0097,315,filler_flow,0.9
EVT0097,720,stock_flow,-1.72
EVT0098,495,machine_speed,1.48
EVT0099,840,machine_speed,1.17
EVT0100,720,stock_flow,1.34
EVT0101,660,machine_speed,-0.72
EVT0102,1440,stock_flow,-0.64
EVT0102,1065,stock_flow,-2.63
EVT0102,1335,stock_flow,0.85
EVT0103,795,steam_pressure,-1.6
EVT0103,990,stock_flow,1.31
EVT0104,735,stock_flow,0.74
EVT0104,1305,machine_speed,-1.82
EVT0105,675,stock_flow,0.01
EVT0105,750,steam_pressure,-1.82
EVT0105,450,stock_flow,-1.14
EVT0106,990,stock_flow,-0.3
EVT0106,1140,filler_flow,1.68
EVT0107,1365,stock_flow,0.69
EVT0107,315,stock_flow,0.53
EVT0107,1050,stock_flow,-0.96
EVT0108,1095,machine_speed,-0.34
EVT0109,600,machine_speed,-3.54
EVT0109,1410,filler_flow,0.87
EVT0109,1305,stock_flow,-1.52
EVT0110,840,filler_flow,-0.9
EVT0111,405,filler_flow,0.82
EVT0112,1260,stock_flow,0.35
EVT0112,915,machine_speed,-0.55
EVT0113,1320,machine_speed,0.45
EVT0114,1125,machine_speed,0.47
EVT0114,1110,steam_pressure,-0.7
EVT0114,720,stock_flow,-0.67
EVT0115,1260,filler_flow,-0.52
EVT0115,585,steam_pressure,-0.24
EVT0116,765,filler_flow,-0.61
EVT0117,570,stock_flow,-0.72
EVT0118,300,filler_flow,1.03
EVT0119,315,stock_flow,0.73
EVT0120,750,machine_speed,-1.15
EVT0120,810,steam_pressure,1.4
EVT0121,915,steam_pressure,-2.4
EVT0121,570,steam_pressure,0.61
EVT0121,405,steam_pressure,-2.59
EVT0122,780,filler_flow,0.01
EVT0122,1335,stock_flow,0.93
EVT0123,1245,filler_flow,5.38
EVT0124,975,machine_speed,-1.43
EVT0125,720,filler_flow,-1.32
EVT0125,720,steam_pressure,-1.34
EVT0125,990,machine_speed,1.89
EVT0126,450,filler_flow,-0.52
EVT0126,435,machine_speed,0.33
EVT0127,1155,stock_flow,-1.43
EVT0127,750,machine_speed,1.34
EVT0127,600,steam_pressure,-0.18
EVT0128,600,stock_flow,0.75
EVT0128,480,machine_speed,1.6
EVT0129,1350,steam_pressure,1.31
EVT0129,1425,machine_speed,1.11
EVT0130,915,machine_speed,-0.8
EVT0131,450,machine_speed,-1.84
EVT0131,495,machine_speed,-0.93
EVT0131,585,filler_flow,0.73
EVT0132,690,steam_pressure,0.16
EVT0133,795,stock_flow,3.12
EVT0133,300,steam_pressure,0.72
EVT0134,390,stock_flow,-3.08
EVT0135,1125,machine_speed,-1.63
EVT0135,1455,filler_flow,-1.0
EVT0135,825,machine_speed,4.11
EVT0136,390,stock_flow,0.45
EVT0136,315,steam_pressure,-0.81
EVT0136,1095,machine_speed,-1.06
EVT0137,795,steam_pressure,0.91
EVT0137,360,machine_speed,1.55
EVT0138,315,steam_pressure,1.37
EVT0138,1335,filler_flow,-3.03
EVT0139,345,stock_flow,1.32
EVT0139,765,machine_speed,-0.12
EVT0139,990,filler_flow,0.32
